"A1";"A2";"A3";"A4";"A8";"A9";"A11";"A12";"A13";"A14";"A16"
"b";20,17;5,625;"u";1,71;"t";0;"f";"s";120;"+"
"b";22,92;3,165;"y";0,165;"f";0;"f";"g";160;"-"
"b";36,17;18,125;"u";0,085;"f";0;"f";"g";320;"-"
"a";57,08;19,5;"u";5,5;"t";7;"f";"g";0;"+"
"a";38,33;4,415;"u";0,125;"f";0;"f";"g";160;"-"
"b";56;12,5;"u";8;"t";0;"t";"g";24;"+"
"a";18,58;10;"u";0,415;"f";0;"f";"g";80;"-"
"a";21,67;11,5;"y";0;"t";11;"t";"g";0;"+"
"b";43,17;2,25;"u";0,75;"t";0;"f";"g";560;"-"
"b";32,42;3;"u";0,165;"f";0;"t";"g";120;"-"
"b";24,42;12,335;"u";1,585;"t";0;"t";"g";120;"+"
"b";25;11,25;"u";2,5;"t";17;"f";"g";200;"+"
"b";24,08;0,875;"u";0,085;"f";4;"f";"g";254;"-"
"a";30,25;5,5;"u";5,5;"f";0;"t";"s";100;"-"
"b";56,58;18,5;"u";15;"t";17;"t";"g";0;"+"
"b";26,75;2;"u";0,75;"f";0;"t";"g";80;"-"
"a";56,83;4,25;"y";5;"f";0;"t";"g";0;"-"
"a";40,83;10;"u";1,75;"t";0;"f";"g";29;"+"
"b";34,92;2,5;"u";0;"t";0;"t";"g";239;"+"
"b";26,67;14,585;"u";0;"f";0;"t";"g";178;"-"
"b";48,58;0,205;"y";0,25;"t";11;"f";"g";380;"+"
"a";48,17;1,335;"u";0,335;"f";0;"f";"g";0;"-"
"a";19,17;0,585;"y";0,585;"t";0;"t";"g";160;"-"
"b";44,33;0,5;"u";5;"t";0;"t";"g";320;"+"
"b";19,58;0,585;"u";0;"f";3;"f";"g";350;"-"
"b";51,83;2,04;"y";1,5;"f";0;"f";"g";120;"-"
"b";40,92;2,25;"y";10;"t";0;"t";"g";176;"-"
"b";47,33;6,5;"u";1;"f";0;"t";"g";0;"-"
"b";74,83;19;"y";0,04;"f";2;"f";"g";0;"-"
"b";34,17;1,54;"u";1,54;"t";1;"t";"g";520;"+"
"a";55,75;7,08;"u";6,75;"t";3;"t";"g";100;"-"
"b";34,75;2,5;"u";0,5;"f";0;"f";"g";348;"-"
"b";18,25;0,165;"u";0,25;"f";0;"t";"s";280;"-"
"b";17,58;10;"u";0,165;"f";1;"f";"g";120;"-"
"b";34,42;1,335;"u";0,125;"f";0;"t";"g";440;"-"
"a";47;13;"u";5,165;"t";9;"t";"g";0;"+"
"b";22,33;11;"u";2;"t";1;"f";"g";80;"+"
"b";42,17;5,04;"u";12,75;"t";0;"t";"g";92;"+"
"b";27,58;3,25;"y";5,085;"f";2;"t";"g";369;"-"
"a";23,58;0,585;"y";0,125;"f";0;"f";"g";120;"-"
"b";27;0,75;"u";4,25;"t";3;"t";"g";312;"+"
"a";18,83;9,54;"u";0,085;"t";0;"f";"g";100;"+"
"b";39,5;1,625;"u";1,5;"f";0;"f";"g";0;"-"
"b";32;1,75;"y";0,04;"t";0;"t";"g";393;"+"
"b";36,25;5;"u";2,5;"t";6;"f";"g";0;"+"
"a";56,5;16;"u";0;"t";15;"f";"g";0;"+"
"b";33,17;1,04;"u";6,5;"t";0;"t";"g";164;"+"
"b";37,42;2,04;"u";0,04;"t";0;"t";"g";400;"+"
"a";25,25;12,5;"u";1;"f";0;"t";"g";180;"-"
"a";22,5;0,415;"u";0,335;"f";0;"t";"s";144;"-"
"b";20,42;1,835;"u";2,25;"t";1;"f";"g";100;"+"
"b";38,58;3,335;"u";4;"t";14;"f";"g";383;"+"
"b";39,92;6,21;"u";0,04;"t";1;"f";"g";200;"+"
"b";24,17;0,875;"u";4,625;"t";2;"t";"g";520;"+"
"b";49,5;7,585;"u";7,585;"t";15;"t";"g";0;"+"
"b";19,5;9,585;"u";0,79;"f";0;"f";"g";80;"-"
"a";16,33;0,21;"u";0,125;"f";0;"f";"g";200;"-"
"b";36,17;0,42;"y";0,29;"f";0;"t";"g";309;"-"
"a";51,92;6,5;"u";3,085;"f";0;"t";"g";73;"-"
"a";18,92;9;"u";0,75;"t";2;"f";"g";88;"+"
"b";27,58;2,04;"y";2;"t";3;"t";"g";370;"+"
"b";25,17;3,5;"u";0,625;"t";7;"f";"g";0;"+"
"b";31,25;2,835;"u";0;"f";5;"f";"g";176;"-"
"b";17,08;0,25;"u";0,335;"f";4;"f";"g";160;"-"
"a";38,58;5;"u";13,5;"t";0;"t";"g";980;"-"
"a";17,33;9,5;"u";1,75;"f";10;"t";"g";0;"-"
"b";19,67;10;"y";0,835;"t";0;"t";"g";140;"-"
"a";20,83;0,5;"y";1;"f";0;"f";"g";260;"-"
"b";30,08;1,04;"y";0,5;"t";10;"t";"g";132;"-"
"b";36,42;0,75;"y";0,585;"f";0;"f";"g";240;"-"
"b";27,25;1,585;"u";1,835;"t";12;"t";"g";583;"+"
"b";27,75;0,585;"y";0,25;"t";2;"f";"g";260;"+"
"b";47,83;4,165;"u";0,085;"f";0;"t";"g";520;"-"
"b";27,83;1;"y";3;"f";0;"f";"g";176;"-"
"b";25,83;12,835;"u";0,5;"f";0;"f";"g";0;"-"
"a";33,08;1,625;"u";0,54;"f";0;"t";"g";0;"-"
"b";16,17;0,04;"u";0,04;"f";0;"f";"g";0;"+"
"b";18,83;0;"u";0,665;"f";0;"f";"g";160;"-"
"a";16,92;0,5;"u";0,165;"f";6;"t";"g";240;"-"
"a";23,58;0,83;"u";0,415;"f";1;"t";"g";200;"-"
"b";33,58;0,25;"u";4;"f";0;"t";"s";420;"-"
"b";43;0,29;"y";1,75;"t";8;"f";"g";100;"+"
"a";36,58;0,29;"u";0;"f";10;"f";"g";200;"-"
"a";23,58;11,5;"y";3;"f";0;"t";"g";20;"-"
"a";26,92;13,5;"u";5;"t";2;"f";"g";0;"+"
"b";39,17;2,5;"y";10;"f";0;"t";"s";200;"-"
"a";17,92;10,21;"u";0;"f";0;"f";"g";0;"-"
"a";18,08;0,375;"l";10;"f";0;"t";"s";300;"+"
"b";51,83;3;"y";1,5;"f";0;"f";"g";180;"-"
"a";50,08;12,54;"u";2,29;"t";3;"t";"g";156;"+"
"b";42,83;1,25;"u";13,875;"f";1;"t";"g";352;"-"
"a";19,58;0,665;"u";1,665;"f";0;"f";"g";220;"-"
"b";30,33;0,5;"u";0,085;"f";0;"t";"s";252;"-"
"a";19,17;8,585;"u";0,75;"t";7;"f";"g";96;"+"
"a";49,83;13,585;"u";8,5;"t";0;"t";"g";0;"+"
"b";65,42;11;"u";20;"t";7;"t";"g";22;"+"
"b";29,58;4,75;"u";2;"f";1;"t";"g";460;"-"
"b";37,33;6,5;"u";4,25;"t";12;"t";"g";93;"+"
"b";34,25;3;"u";7,415;"t";0;"t";"g";0;"+"
"b";22,17;0,585;"y";0;"f";0;"f";"g";100;"-"
"b";26,67;4,25;"u";4,29;"t";1;"t";"g";120;"+"
"b";20,42;7;"u";1,625;"t";3;"f";"g";200;"+"
"b";28,67;14,5;"u";0,125;"f";0;"f";"g";0;"-"
"a";24,75;12,5;"u";1,5;"t";12;"t";"g";120;"+"
"b";31,83;2,5;"u";7,5;"t";0;"t";"g";523;"-"
"b";21,17;0,875;"y";0,25;"f";0;"f";"g";280;"-"
"b";28,58;3,625;"u";0,25;"f";0;"t";"g";100;"-"
"a";17,92;0,54;"u";1,75;"f";1;"t";"g";80;"-"
"b";32,75;1,5;"u";5,5;"t";3;"t";"g";0;"+"
"b";31,67;0,83;"u";1,335;"t";8;"t";"g";303;"+"
"a";47,42;8;"u";6,5;"t";6;"f";"g";375;"+"
"b";21;4,79;"y";2,25;"t";1;"t";"g";80;"+"
"b";34,25;1,75;"u";0,25;"t";0;"t";"g";163;"-"
"b";34,08;6,5;"u";0,125;"t";0;"t";"g";443;"-"
"b";34,75;15;"u";5,375;"t";9;"t";"g";0;"+"
"b";33,17;3,04;"y";2,04;"t";1;"t";"g";180;"+"
"b";32,33;2,5;"u";1,25;"f";0;"t";"g";280;"-"
"b";29,42;1,25;"u";0,25;"f";2;"t";"g";400;"-"
"b";51,58;15;"u";8,5;"t";9;"f";"g";0;"+"
"b";48,75;26,335;"y";0;"t";0;"t";"g";0;"-"
"b";43,08;0,375;"y";0,375;"t";8;"t";"g";300;"+"
"b";18,17;10,25;"u";1,085;"f";0;"f";"g";320;"-"
"b";32,92;2,5;"u";1,75;"f";2;"t";"g";720;"-"
"a";32;6;"u";1,25;"f";0;"f";"g";272;"-"
"b";21,92;0,54;"y";0,04;"t";1;"t";"g";840;"+"
"b";34;5,085;"y";1,085;"f";0;"t";"g";480;"-"
"b";31,08;3,085;"u";2,5;"f";2;"t";"g";160;"-"
"b";39,5;4,25;"u";6,5;"t";16;"f";"g";117;"+"
"b";23,75;0,415;"y";0,04;"f";2;"f";"g";128;"-"
"a";30,42;1,375;"u";0,04;"f";3;"f";"g";0;"-"
"a";18,83;9,5;"u";1,625;"t";6;"t";"g";40;"+"
"a";29,58;1,75;"y";1,25;"f";0;"t";"g";280;"-"
"b";73,42;17,75;"u";0;"t";0;"t";"g";0;"+"
"b";22,08;2,335;"u";0,75;"f";0;"f";"g";180;"-"
"b";23,42;0,585;"u";0,085;"t";0;"f";"g";180;"-"
"a";20,83;8,5;"u";0,165;"f";0;"f";"g";0;"-"
"a";23,5;9;"u";8,5;"t";5;"t";"g";120;"+"
"a";27,17;1,25;"u";0;"f";1;"f";"g";92;"-"
"a";30,58;10,665;"u";0,085;"f";12;"t";"g";129;"-"
"b";28,75;1,5;"y";1,5;"t";0;"t";"g";0;"-"
"b";34,08;2,5;"u";1;"f";0;"f";"g";460;"-"
"a";25,33;2,085;"u";2,75;"t";0;"t";"g";360;"-"
"a";19,17;5,415;"u";0,29;"f";0;"f";"g";80;"-"
"b";76,75;22,29;"u";12,75;"t";1;"t";"g";0;"+"
"a";41;2,04;"y";0,125;"t";23;"t";"g";455;"+"
"a";18,25;10;"u";1;"f";1;"f";"g";120;"-"
"b";25,67;12,5;"u";1,21;"t";67;"t";"g";140;"+"
"b";16,33;4,085;"u";0,415;"f";0;"t";"g";120;"-"
"a";22,5;11;"y";3;"t";0;"t";"g";268;"-"
"a";36,75;4,71;"u";0;"f";0;"f";"g";160;"-"
"b";25,75;0,5;"u";1,46;"t";5;"t";"g";312;"+"
"b";21,83;0,25;"u";0,665;"t";0;"t";"g";0;"+"
"b";26,67;2,71;"y";5,25;"t";1;"f";"g";211;"+"
"b";20,75;5,085;"y";0,29;"f";0;"f";"g";140;"-"
"a";25;0,875;"u";1,04;"t";0;"t";"g";160;"+"
"b";19,17;0;"y";0;"f";0;"t";"s";500;"+"
"b";21,5;9,75;"u";0,25;"t";0;"f";"g";140;"-"
"a";16,08;0,335;"u";0;"f";1;"f";"g";160;"-"
"b";17,67;4,46;"u";0,25;"f";0;"f";"s";80;"-"
"b";48,58;6,5;"u";6;"t";0;"t";"g";350;"+"
"b";34,17;2,75;"u";2,5;"f";0;"t";"g";232;"-"
"b";36,67;4,415;"y";0,25;"t";10;"t";"g";320;"+"
"b";44,25;0,5;"u";10,75;"t";0;"f";"s";400;"-"
"b";39,25;9,5;"u";6,5;"t";14;"f";"g";240;"+"
"b";27,75;1,29;"u";0,25;"f";0;"t";"s";140;"-"
"b";25,92;0,875;"u";0,375;"f";2;"t";"g";174;"-"
"a";36;1;"u";2;"t";11;"f";"g";0;"+"
"b";42;0,205;"u";5,125;"t";0;"f";"g";400;"+"
"a";20,67;3;"u";0,165;"t";3;"f";"g";100;"+"
"b";32,42;2,165;"y";0;"f";0;"f";"g";120;"-"
"a";30,67;12;"u";2;"t";1;"f";"g";220;"+"
"a";24,33;2,5;"y";4,5;"f";0;"f";"g";200;"-"
"b";21,83;1,54;"u";0,085;"f";0;"t";"g";356;"-"
"b";22,92;0,17;"u";0,085;"f";0;"f";"s";0;"-"
"a";19,75;0,75;"u";0,795;"t";5;"t";"g";140;"-"
"a";25,75;0,5;"u";0,875;"t";0;"t";"g";491;"+"
"a";41,17;6,5;"u";0,5;"t";3;"t";"g";145;"+"
"a";25;11;"y";4,5;"t";0;"f";"g";120;"-"
"b";35,17;25,125;"u";1,625;"t";1;"t";"g";515;"+"
"b";47,67;2,5;"u";2,5;"t";12;"t";"g";410;"+"
"a";20,5;11,835;"u";6;"t";0;"f";"g";340;"+"
"a";20,33;10;"u";1;"t";4;"f";"g";50;"+"
"b";34,17;5,25;"u";0,085;"f";0;"t";"g";290;"+"
"b";45,17;1,5;"u";2,5;"t";0;"t";"g";140;"-"
"b";15,17;7;"u";1;"f";0;"f";"g";600;"-"
"b";23,25;1,5;"u";2,375;"t";3;"t";"g";0;"+"
"b";20,67;0,415;"u";0,125;"f";0;"f";"g";0;"-"
"b";41,17;1,25;"y";0,25;"f";0;"f";"g";0;"-"
"b";23,58;1,79;"u";0,54;"f";0;"t";"g";136;"-"
"b";60,08;14,5;"u";18;"t";15;"t";"g";0;"+"
"b";27,67;0,75;"u";0,165;"f";0;"t";"g";220;"-"
"b";25,42;0,54;"u";0,165;"f";1;"f";"g";272;"-"
"b";31,33;19,5;"u";7;"t";16;"f";"g";0;"+"
"b";22,67;10,5;"u";1,335;"t";0;"f";"g";100;"+"
"b";35,58;0,75;"u";1,5;"f";0;"t";"g";231;"-"
"b";36,08;2,54;"u";0;"f";0;"f";"g";0;"-"
"b";35,75;2,415;"u";0,125;"f";2;"f";"g";220;"-"
"b";34,92;5;"u";7,5;"t";6;"t";"g";0;"+"
"a";46,08;3;"u";2,375;"t";8;"t";"g";396;"+"
"a";45;4,585;"u";1;"f";0;"t";"s";240;"-"
"a";22,42;11,25;"y";0,75;"t";4;"f";"g";0;"+"
"b";25,5;0,375;"u";0,25;"t";3;"f";"g";260;"+"
"b";25;12,5;"u";3;"t";0;"t";"s";20;"+"
"b";29,58;4,5;"u";7,5;"t";2;"t";"g";330;"+"
"b";29,5;0,58;"u";0,29;"f";1;"f";"g";340;"-"
"a";24,08;0,5;"u";1,25;"t";1;"f";"g";0;"+"
"b";22,17;2,25;"u";0,125;"f";0;"f";"g";160;"-"
"b";22,08;11;"u";0,665;"t";0;"f";"g";100;"+"
"b";25,75;0,75;"u";0,25;"t";0;"f";"g";349;"+"
"a";22,5;8,46;"y";2,46;"f";0;"f";"g";164;"+"
"b";21,83;11;"u";0,29;"t";6;"f";"g";121;"+"
"b";24,42;2;"u";0,165;"f";2;"f";"g";320;"-"
"a";22,25;1,25;"y";3,25;"f";0;"f";"g";280;"-"
"b";29,67;1,415;"u";0,75;"t";1;"f";"g";240;"+"
"b";18,08;5,5;"u";0,5;"t";0;"f";"g";80;"+"
"a";33,75;0,75;"u";1;"t";3;"t";"g";212;"-"
"b";32,33;3,5;"u";0,5;"f";0;"t";"g";232;"-"
"b";32,83;2,5;"u";2,75;"t";6;"f";"g";160;"+"
"b";36,33;2,125;"y";0,085;"t";1;"f";"g";50;"+"
"b";32,25;0,165;"y";3,25;"t";1;"t";"g";432;"+"
"a";57,08;0,335;"u";1;"t";0;"t";"g";252;"-"
"b";23,25;12,625;"u";0,125;"f";2;"f";"g";0;"-"
"b";26,17;12,5;"y";1,25;"f";0;"t";"g";0;"-"
"b";36,17;5,5;"u";5;"f";0;"f";"g";210;"-"
"b";36,5;4,25;"u";3,5;"f";0;"f";"g";454;"-"
"a";28,58;1,665;"u";2,415;"t";0;"t";"g";440;"-"
"b";30,58;2,71;"y";0,125;"f";0;"t";"s";80;"-"
"b";27,25;0,625;"u";0,455;"t";0;"t";"g";200;"-"
"a";26,17;2;"u";0;"f";0;"t";"g";276;"-"
"b";38,25;10,125;"y";0,125;"f";0;"f";"g";160;"-"
"b";59,67;1,54;"u";0,125;"t";0;"t";"g";260;"+"
"b";43,25;25,21;"u";0,21;"t";1;"f";"g";760;"-"
"a";47,25;0,75;"u";2,75;"t";1;"f";"g";333;"+"
"b";37,5;1,125;"y";1,5;"f";0;"t";"g";431;"+"
"b";33,5;1,75;"u";4,5;"t";4;"t";"g";253;"+"
"a";21,25;2,335;"u";0,5;"t";4;"f";"s";80;"+"
"b";25,67;3,25;"u";2,29;"f";1;"t";"g";416;"-"
"b";22,67;2,54;"y";2,585;"t";0;"f";"g";0;"+"
"b";21,42;0,75;"y";0,75;"f";0;"t";"g";132;"-"
"b";19,42;7,25;"u";0,04;"f";1;"f";"g";100;"-"
"b";44,83;7;"y";1,625;"f";0;"f";"g";160;"-"
"b";24,58;12,5;"u";0,875;"t";0;"t";"g";260;"-"
"b";37,17;4;"u";5;"t";0;"t";"s";280;"-"
"b";31,42;15,5;"u";0,5;"t";0;"f";"g";120;"-"
"b";30,83;0;"u";1,25;"t";1;"f";"g";202;"+"
"b";22,08;0,83;"u";2,165;"f";0;"t";"g";128;"+"
"b";25,58;0,335;"u";3,5;"f";0;"t";"g";340;"-"
"a";29,5;0,46;"u";0,54;"t";4;"f";"g";380;"+"
"b";51,33;10;"u";0;"t";11;"f";"g";0;"+"
"b";23,33;11,625;"y";0,835;"t";0;"t";"g";160;"+"
"a";25,25;13,5;"y";2;"f";1;"t";"g";200;"-"
"a";28,58;3,75;"u";0,25;"f";1;"t";"g";40;"-"
"b";54,42;0,5;"y";3,96;"t";0;"f";"g";180;"+"
"a";44,17;6,665;"u";7,375;"t";3;"t";"g";0;"+"
"a";41,58;1,04;"u";0,665;"f";0;"f";"g";240;"-"
"b";22,5;11,5;"y";1,5;"f";0;"t";"g";0;"-"
"a";25,17;2,875;"u";0,875;"t";0;"f";"g";360;"+"
"a";23,25;5,875;"u";3,17;"t";10;"f";"g";120;"+"
"b";32,67;5,5;"u";5,5;"t";12;"t";"g";408;"+"
"b";21,25;1,5;"u";1,5;"f";0;"f";"g";150;"+"
"b";42;9,79;"u";7,96;"t";8;"f";"g";0;"+"
"b";29,25;14,79;"u";5,04;"t";5;"t";"g";168;"+"
"a";17,83;11;"u";1;"t";11;"f";"g";0;"+"
"b";58,58;2,71;"u";2,415;"f";0;"t";"g";320;"-"
"b";16,08;0,75;"u";1,75;"t";5;"t";"g";352;"+"
"a";45,83;10,5;"u";5;"t";7;"t";"g";0;"+"
"a";20,83;3;"u";0,04;"t";0;"f";"g";100;"+"
"b";39,17;1,71;"u";0,125;"t";5;"t";"g";480;"+"
"b";26,83;0,54;"u";0;"f";0;"f";"g";100;"-"
"b";18,17;2,46;"u";0,96;"f";2;"t";"g";160;"-"
"a";40,33;7,54;"y";8;"t";14;"f";"g";0;"+"
"b";20;0;"u";0,5;"f";0;"f";"g";144;"-"
"a";17,58;9;"u";1,375;"t";0;"t";"g";0;"+"
"b";37,5;0,835;"u";0,04;"f";0;"f";"g";120;"-"
"b";27,83;1,54;"u";3,75;"t";5;"t";"g";100;"+"
"b";21;3;"y";1,085;"t";8;"t";"g";160;"+"
"b";26,25;1,54;"u";0,125;"f";0;"f";"g";100;"-"
"b";23,42;1;"u";0,5;"f";0;"t";"s";280;"-"
"b";40,92;0,835;"u";0;"t";0;"f";"g";130;"-"
"a";50,25;0,835;"u";0,5;"f";0;"t";"g";240;"-"
"a";18,17;10;"y";0,165;"f";0;"f";"g";340;"-"
"b";27;1,5;"y";0,375;"t";0;"t";"g";260;"+"
"b";20,25;9,96;"u";0;"t";0;"f";"g";0;"+"
"b";41,58;1,75;"u";0,21;"t";0;"f";"g";160;"-"
"b";19,42;1,5;"y";2;"t";0;"t";"g";100;"-"
"b";37,75;7;"u";11,5;"t";7;"t";"g";300;"-"
"a";28,75;3,75;"u";1,085;"t";1;"t";"g";371;"+"
"a";22,67;7;"u";0,165;"f";0;"f";"g";160;"-"
"b";69,17;9;"u";4;"f";1;"f";"g";70;"-"
"b";32,25;14;"y";0;"f";2;"f";"g";160;"-"
"a";24,83;4,5;"u";1;"f";0;"t";"g";360;"-"
"b";42,75;3;"u";1;"t";0;"f";"g";0;"-"
"b";16,33;2,75;"u";0,665;"f";1;"f";"g";80;"-"
"b";40,92;0,5;"y";0,5;"f";0;"t";"g";130;"-"
"b";48,25;25,085;"u";1,75;"t";3;"f";"g";120;"+"
"a";20,67;1,835;"u";2,085;"t";5;"f";"g";220;"+"
"a";22,67;0,335;"u";0,75;"f";0;"f";"s";160;"-"
"a";20,75;10,25;"u";0,71;"t";2;"t";"g";49;"+"
"b";40,58;5;"u";5;"t";7;"f";"g";0;"+"
"b";27,83;4;"y";5,75;"t";2;"t";"g";75;"-"
"b";34,42;4,25;"u";3,25;"t";2;"f";"g";274;"+"
"b";27,67;13,75;"u";5,75;"t";0;"t";"g";487;"+"
"b";43,25;3;"u";6;"t";11;"f";"g";80;"+"
"a";33,25;2,5;"y";2,5;"f";0;"t";"g";0;"-"
"b";32,67;9;"y";5,25;"t";0;"t";"g";154;"+"
"a";24,5;1,75;"y";0,165;"f";0;"f";"g";132;"-"
"b";29,67;0,75;"y";0,04;"f";0;"f";"g";240;"-"
"a";27,33;1,665;"u";0;"f";0;"f";"g";340;"-"
"b";42,5;4,915;"y";3,165;"t";0;"t";"g";52;"+"
"a";19,58;0,665;"y";1;"f";1;"f";"g";2000;"-"
"a";28,42;3,5;"u";0,835;"t";0;"f";"s";280;"+"
"b";44,25;11;"y";1,5;"t";0;"f";"s";0;"-"
"b";38,92;1,75;"u";0,5;"f";0;"t";"g";300;"-"
"b";23,17;11,125;"u";0,46;"t";1;"f";"g";100;"+"
"b";26,92;2,25;"u";0,5;"f";0;"t";"g";640;"-"
"b";34,08;0,08;"y";0,04;"t";1;"t";"g";280;"+"
